# z = 0.40
# Columns:
# logLHa  logLHa_binw_full  logphi_obs  logphi_obs_err  logphi_corr  logphi_corr_err
logLHa logLHa_binw_full logphi_obs logphi_obs_err logphi_corr logphi_corr_err
40.50 0.10 -1.84 0.04 -1.66 0.04
40.60 0.10 -1.78 0.04 -1.70 0.04
40.70 0.10 -1.87 0.04 -1.81 0.04
40.80 0.10 -2.01 0.05 -1.93 0.05
40.90 0.10 -2.20 0.06 -1.96 0.07
41.00 0.10 -2.21 0.06 -2.03 0.07
41.10 0.10 -2.41 0.08 -2.12 0.09
41.20 0.10 -2.39 0.08 -2.27 0.08
41.30 0.10 -2.43 0.08 -2.29 0.09
41.40 0.10 -2.55 0.10 -2.42 0.10
41.50 0.10 -2.55 0.10 -2.46 0.11
41.60 0.10 -2.71 0.12 -2.57 0.13
41.70 0.10 -2.94 0.17 -2.69 0.19
41.80 0.10 -2.90 0.16 -2.73 0.17
41.90 0.10 -3.04 0.19 -2.88 0.20
42.00 0.10 -3.34 0.30 -3.03 0.35
42.20 0.20 -3.45 0.36 -3.56 0.51
42.50 0.30 -3.64 0.53 -3.71 0.71

