# z = 1.47
logLHa logLHa_binw_full logphi_obs logphi_obs_err logphi_corr logphi_corr_err
42.10 0.10 -2.20 0.10 -2.13 0.10
42.20 0.10 -2.37 0.08 -2.25 0.09
42.30 0.10 -2.55 0.06 -2.34 0.06
42.40 0.10 -2.67 0.05 -2.47 0.05
42.50 0.10 -2.78 0.05 -2.62 0.05
42.60 0.10 -2.83 0.04 -2.73 0.04
42.70 0.10 -3.23 0.07 -2.91 0.08
42.80 0.10 -3.50 0.10 -3.18 0.11
42.90 0.10 -3.91 0.18 -3.55 0.18
43.00 0.10 -4.17 0.26 -3.81 0.26
43.10 0.10 -4.39 0.37 -4.22 0.38
43.20 0.10 -4.57 0.53 -4.55 0.55
43.40 0.30 -4.57 0.53 -4.86 0.55

