# z = 2.23
logLHa logLHa_binw_full nsources logphi_obs logphi_obs_err logphi_corr logphi_corr_err vol_1e4Mpc3
42.00 0.15 8 -2.18 0.19 -1.93 0.19 0.8
42.15 0.15 11 -2.34 0.16 -2.07 0.16 1.6
42.30 0.10 47 -2.24 0.07 -2.19 0.07 6.7
42.40 0.10 91 -2.36 0.05 -2.31 0.05 20.9
42.50 0.10 107 -2.48 0.04 -2.41 0.05 32.7
42.60 0.10 158 -2.60 0.04 -2.50 0.04 63.3
42.70 0.10 163 -2.68 0.04 -2.59 0.05 77.2
42.80 0.10 100 -2.89 0.05 -2.73 0.06 77.2
42.90 0.10 51 -3.18 0.07 -2.88 0.14 77.2
43.00 0.10 30 -3.41 0.09 -3.09 0.17 77.2
43.10 0.10 16 -3.68 0.12 -3.33 0.22 77.2
43.20 0.10 7 -4.04 0.21 -3.67 0.31 77.2
43.30 0.10 3 -4.41 0.37 -4.01 0.51 77.2
43.40 0.10 2 -4.59 0.53 -4.22 0.68 77.2
43.60 0.30 3 -4.41 0.37 -4.63 0.41 77.2
